GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,35,0,0,0,10,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,104,0,4,0,31,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,6,191,0,4,2,51,1,9,1,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,111,0,4,0,32,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,104,0,4,0,31,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,CustomErrorController,20,7,0,0,5,2,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,104,0,4,0,31,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,104,0,4,0,31,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,0,100,0,2,0,23,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,TradeService,0,88,0,2,0,20,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,BidService,0,102,0,4,0,23,0,8,0,6
spring-boot-skeleton,com.nnk.springboot.service,RatingService,0,88,0,2,0,20,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,0,88,0,2,0,20,0,7,0,6
spring-boot-skeleton,com.nnk.springboot.service,UserService,3,167,3,9,2,34,3,10,0,7
spring-boot-skeleton,com.nnk.springboot.exception,UserNameExistInDataBaseException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exception,TradeNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exception,RuleNameNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exception,RatingNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exception,CurvePointNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exception,BidListNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.secutity,WebConfig,0,9,0,0,0,3,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.secutity,CustomUserDetailsService,21,35,2,2,3,7,2,2,0,2
spring-boot-skeleton,com.nnk.springboot.secutity,PasswordConstraintValidator,0,88,1,3,0,12,1,4,0,3
spring-boot-skeleton,com.nnk.springboot.secutity,SecurityConfiguration,0,132,0,0,0,32,0,6,0,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,15,38,0,0,6,17,1,11,1,11
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,21,52,0,0,8,23,1,15,1,15
spring-boot-skeleton,com.nnk.springboot.domain,BidList,133,42,0,0,57,19,35,12,35,12
spring-boot-skeleton,com.nnk.springboot.domain,Trade,140,31,0,0,60,14,36,9,36,9
spring-boot-skeleton,com.nnk.springboot.domain,User,0,50,0,0,0,17,0,12,0,12
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,25,31,0,0,11,14,4,9,4,9
